city,ja,population,place,dist_km,segment,km_along,seg_from,seg_to,lat,lon
Yamaguchi,山口市,193966,city,11.1,hofu--shimonoseki,12.9,hofu,shimonoseki,34.1781,131.4737
Tottori,鳥取市,193717,city,0.1,miyazu--tottori#sanin,148.2,miyazu,tottori,35.4944,134.2219
Kofu,甲府市,193125,city,0.2,kofu--fujinomiya#highland,0.2,kofu,fujinomiya,35.6652,138.571
Kishiwada,岸和田市,192637,city,0.5,wakayama--osaka#pacific,43.0,wakayama,osaka,34.4644,135.3852
Kodaira,小平市,191406,city,24.9,tokyo--kamakura#pacific,9.7,tokyo,kamakura,35.7252,139.4766
Hitachi,日立市,189958,city,1.2,iwaki--mito#pacific,70.7,iwaki,mito,36.5991,140.6505
Mitaka,三鷹市,189577,city,16.2,tokyo--kamakura#pacific,10.2,tokyo,kamakura,35.6834,139.5592
Odawara,小田原市,188856,city,0.9,kamakura--odawara#pacific,40.9,kamakura,odawara,35.2645,139.1522
Joetsu,上越市,188047,city,2.8,kashiwazaki--itoigawa,39.9,kashiwazaki,itoigawa,37.1479,138.236
Nagareyama,流山市,186863,city,0.9,tsukuba--tokyo#pacific,39.1,tsukuba,tokyo,35.8556,139.9028
Anjo,安城市,186468,city,5.6,toyohashi--nagoya#pacific,40.4,toyohashi,nagoya,34.9478,137.0756
Izumi,和泉市,185440,city,2.5,wakayama--osaka#pacific,45.9,wakayama,osaka,34.4832,135.4232
Uji,宇治市,184678,city,5.1,otsu--osaka,15.5,otsu,osaka,34.8851,135.7996
Toyokawa,豊川市,183262,city,2.9,toyohashi--nagoya#pacific,7.3,toyohashi,nagoya,34.8276,137.3786
Narashino,習志野市,176197,city,15.5,tsukuba--tokyo#pacific,53.7,tsukuba,tokyo,35.6817,140.0272
Takaoka,高岡市,174389,city,7.2,uozu--himi,36.9,uozu,himi,36.7362,137.0187
Izumo,出雲市,172775,city,0.2,matsue--izumo#sanin,41.3,matsue,izumo,35.3669,132.7549
Kamakura,鎌倉市,172710,city,0.1,kamakura--odawara#pacific,0.6,kamakura,odawara,35.3193,139.547
Nishio,西尾市,169352,city,16.0,toyohashi--nagoya#pacific,28.5,toyohashi,nagoya,34.8225,137.0696
Hirosaki,弘前市,168466,city,13.5,aomori--fukaura,26.5,aomori,fukaura,40.6031,140.464
Hadano,秦野市,167378,city,9.2,kamakura--odawara#pacific,28.9,kamakura,odawara,35.3747,139.22
Iwata,磐田市,166426,city,5.8,shizuoka--hamamatsu#pacific,88.9,shizuoka,hamamatsu,34.7178,137.8515
Niiza,新座市,164024,city,21.7,tsukuba--tokyo#pacific,68.3,tsukuba,tokyo,35.7931,139.5657
Urayasu,浦安市,164024,city,10.3,tsukuba--tokyo#pacific,64.0,tsukuba,tokyo,35.6539,139.9026
Ube,宇部市,162570,city,3.3,hofu--shimonoseki,37.9,hofu,shimonoseki,33.9518,131.2472
Matsusaka,松阪市,161703,city,0.4,nagoya--ise#pacific,96.8,nagoya,ise,34.5779,136.5276
Miyakonojo,都城市,160640,city,23.6,miyazaki--nichinan,30.6,miyazaki,nichinan,31.7196,131.0612
Ogaki,大垣市,159595,city,24.2,nagoya--ise#pacific,21.7,nagoya,ise,35.3596,136.6129
Chuo,中央区,158508,city,1.1,tokyo--kamakura#pacific,0.6,tokyo,kamakura,35.6706,139.772
Ueda,上田市,156980,city,15.5,nagano--matsumoto#highland,26.2,nagano,matsumoto,36.4021,138.2491
Hitachinaka,ひたちなか市,155970,city,1.0,iwaki--mito#pacific,99.0,iwaki,mito,36.3961,140.5353
Kawanishi,川西市,155206,city,11.5,osaka--kobe,12.7,osaka,kobe,34.8302,135.4172
Noda,野田市,152638,city,10.2,tsukuba--tokyo#pacific,39.8,tsukuba,tokyo,35.9549,139.8749
Imabari,今治市,151672,city,0.3,onomichi--imabari,57.6,onomichi,imabari,34.0658,132.9977
Kariya,刈谷市,151429,city,6.8,toyohashi--nagoya#pacific,47.7,toyohashi,nagoya,34.9747,137.0028
Komaki,小牧市,149023,city,15.9,toyohashi--nagoya#pacific,75.6,toyohashi,nagoya,35.3066,136.9341
Yonago,米子市,147317,city,0.6,tottori--yonago#sanin,101.2,tottori,yonago,35.4276,133.3315
Tama,多摩市,144348,city,24.2,tokyo--kamakura#pacific,19.5,tokyo,kamakura,35.6372,139.4461
Fujieda,藤枝市,143227,city,4.2,shizuoka--hamamatsu#pacific,15.6,shizuoka,hamamatsu,34.8674,138.2577
Moriguchi,守口市,142487,city,0.5,otsu--osaka,44.6,otsu,osaka,34.7358,135.5617
Asaka,朝霞市,141083,city,19.8,tsukuba--tokyo#pacific,68.3,tsukuba,tokyo,35.7971,139.5937
Musashino,武蔵野市,140162,city,17.5,tokyo--kamakura#pacific,6.8,tokyo,kamakura,35.7177,139.566
Kuwana,桑名市,140051,city,0.3,nagoya--ise#pacific,32.6,nagoya,ise,35.0666,136.6843
Misato,三郷市,139903,city,1.2,tsukuba--tokyo#pacific,44.9,tsukuba,tokyo,35.829,139.8727
Tsuchiura,土浦市,139261,city,5.4,mito--tsukuba#pacific,46.1,mito,tsukuba,36.0786,140.2046
Shunan,周南市,137540,city,0.5,yanai--hofu,36.2,yanai,hofu,34.0551,131.8064
Yaizu,焼津市,137453,city,0.2,shizuoka--hamamatsu#pacific,21.8,shizuoka,hamamatsu,34.8672,138.3228
Kusatsu,草津市,137247,city,8.6,tsuruga--otsu,99.0,tsuruga,otsu,35.0132,135.9599
Inazawa,稲沢市,136285,city,9.5,nagoya--ise#pacific,11.8,nagoya,ise,35.2405,136.759
Toda,戸田市,136150,city,16.2,tsukuba--tokyo#pacific,67.0,tsukuba,tokyo,35.8176,139.6779
Minoh,箕面市,135765,city,11.8,otsu--osaka,43.2,otsu,osaka,34.827,135.4705
Ishinomaki,石巻市,131396,city,23.0,kesennuma--sendai#pacific,90.1,kesennuma,sendai,38.4341,141.3028
Onomichi,尾道市,131170,city,0.2,fukuyama--onomichi,16.6,fukuyama,onomichi,34.4089,133.2052
Abiko,我孫子市,130977,city,4.1,tsukuba--tokyo#pacific,29.5,tsukuba,tokyo,35.864,140.0281
Ebina,海老名市,130678,city,14.1,kamakura--odawara#pacific,18.1,kamakura,odawara,35.4464,139.3906
Iwakuni,岩国市,129125,city,0.4,iwakuni--yanai,0.6,iwakuni,yanai,34.1665,132.2191
Zama,座間市,128737,city,17.9,tokyo--kamakura#pacific,49.0,tokyo,kamakura,35.4887,139.4077
Seto,瀬戸市,128374,city,17.7,toyohashi--nagoya#pacific,71.6,toyohashi,nagoya,35.2239,137.084
Fujinomiya,富士宮市,128105,city,0.2,fujinomiya--numazu#highland,0.5,fujinomiya,numazu,35.2221,138.6215
Ise,伊勢市,125934,city,0.2,ise--owase#pacific,0.4,ise,owase,34.4876,136.7092
Koganei,小金井市,122977,city,21.1,tokyo--kamakura#pacific,9.7,tokyo,kamakura,35.7041,139.5107
Tsuruoka,鶴岡市,122347,city,0.0,yamagata--tsuruoka#crossover,98.8,yamagata,tsuruoka,38.7272,139.8266
Kadoma,門真市,121936,city,2.1,otsu--osaka,41.5,otsu,osaka,34.7395,135.5869
Daito,大東市,121609,city,6.4,otsu--osaka,40.9,otsu,osaka,34.712,135.6235
Osaki,大崎市,121107,city,9.8,kesennuma--sendai#pacific,79.2,kesennuma,sendai,38.5777,140.9557
Ebetsu,江別市,121056,city,21.6,atsuta--otaru,29.6,atsuta,otaru,43.1037,141.5359
Matsubara,松原市,119543,city,6.5,wakayama--osaka#pacific,63.1,wakayama,osaka,34.5781,135.5518
Ikoma,生駒市,119358,city,12.7,otsu--osaka,40.9,otsu,osaka,34.6915,135.6962
Nobeoka,延岡市,118394,city,0.0,saiki--nobeoka#shikoku-south,85.4,saiki,nobeoka,32.5823,131.6649
Handa,半田市,117285,city,17.4,toyohashi--nagoya#pacific,45.8,toyohashi,nagoya,34.8938,136.937
Higashikurume,東久留米市,116566,city,23.1,tokyo--kamakura#pacific,6.8,tokyo,kamakura,35.7525,139.5191
