city,ja,population,place,dist_km,segment,km_along,seg_from,seg_to,lat,lon
Sanyo-Onoda,山陽小野田市,60326,city,0.8,hofu--shimonoseki,43.9,hofu,shimonoseki,34.003,131.1819
Kurihara,栗原市,59876,city,12.7,kesennuma--sendai#pacific,67.0,kesennuma,sendai,38.7301,141.0209
Hyuga,日向市,59629,city,0.3,nobeoka--miyazaki,20.4,nobeoka,miyazaki,32.4225,131.6244
Nagakute,長久手市,59532,city,12.7,toyohashi--nagoya#pacific,69.1,toyohashi,nagoya,35.1838,137.0487
Chikuma,千曲市,58852,city,0.9,nagano--matsumoto#highland,15.8,nagano,matsumoto,36.5337,138.1201
Kosai,湖西市,58551,city,4.1,hamamatsu--toyohashi#pacific,19.4,hamamatsu,toyohashi,34.7185,137.5316
Hannan,阪南市,58465,city,0.4,wakayama--osaka#pacific,24.5,wakayama,osaka,34.3595,135.2398
Osakasayama,大阪狭山市,58138,city,10.9,wakayama--osaka#pacific,53.8,wakayama,osaka,34.5037,135.5557
Tokoname,常滑市,57456,city,21.3,nagoya--ise#pacific,40.6,nagoya,ise,34.8959,136.8383
Zushi,逗子市,57425,city,3.7,tokyo--kamakura#pacific,57.3,tokyo,kamakura,35.2956,139.5804
Murakami,村上市,57418,city,0.1,murakami--niigata,0.0,murakami,niigata,38.2241,139.48
Ishikari,石狩市,56869,city,2.2,atsuta--otaru,38.1,atsuta,otaru,43.1717,141.316
Takaishi,高石市,56452,city,1.1,wakayama--osaka#pacific,51.5,wakayama,osaka,34.5207,135.4424
Nogata,直方市,56212,city,19.3,moji--nakatsu,13.5,moji,nakatsu,33.7439,130.7297
Kudamatsu,下松市,55887,city,2.2,yanai--hofu,29.7,yanai,hofu,34.015,131.8705
Muko,向日市,55729,city,5.7,otsu--osaka,17.7,otsu,osaka,34.9487,135.6981
Chino,茅野市,55646,city,1.2,matsumoto--kofu#highland,40.4,matsumoto,kofu,35.9957,138.1589
Kesennuma,気仙沼市,55588,city,0.1,kamaishi--kesennuma#pacific,90.6,kamaishi,kesennuma,38.908,141.5698
Shijonawate,四條畷市,55533,city,5.3,otsu--osaka,38.8,otsu,osaka,34.7401,135.6402
Minamisoma,南相馬市,55364,city,4.7,soma--iwaki#pacific,21.2,soma,iwaki,37.6422,140.9573
Nonoichi,野々市市,55099,city,5.3,kanazawa--tojinbo,6.1,kanazawa,tojinbo,36.5197,136.6098
Nanao,七尾市,54638,city,0.6,suzu--nanao,73.3,suzu,nanao,37.0521,136.9465
Hamada,浜田市,54592,city,0.2,hamada--hagi#sanin,1.0,hamada,hagi,34.8992,132.08
Konan,湖南市,54240,city,19.4,tsuruga--otsu#direct,79.0,tsuruga,otsu,35.0042,136.0847
Naka,那珂市,53897,city,5.3,iwaki--mito#pacific,92.8,iwaki,mito,36.4572,140.4872
Nanto,南砺市,53584,city,23.7,nanao--kanazawa,62.7,nanao,kanazawa,36.5882,136.9192
Kyotango,京丹後市,53367,city,10.5,miyazu--tottori#sanin,5.3,miyazu,tottori,35.6242,135.0611
Iwade,岩出市,53358,city,9.8,shirahama--wakayama#pacific,108.9,shirahama,wakayama,34.2559,135.3112
Usa,宇佐市,52771,city,0.2,nakatsu--usa,17.4,nakatsu,usa,33.532,131.3497
Tomiya,富谷市,52379,city,0.5,kesennuma--sendai#pacific,111.5,kesennuma,sendai,38.3999,140.8953
Bando,坂東市,52265,city,15.3,tsukuba--tokyo#pacific,11.3,tsukuba,tokyo,36.0485,139.8897
Shiogama,塩竈市,51494,city,11.8,kesennuma--sendai#pacific,120.6,kesennuma,sendai,38.3143,141.0218
Goshogawara,五所川原市,51415,city,5.5,aomori--fukaura,36.9,aomori,fukaura,40.8076,140.4459
Suzaka,須坂市,51072,city,5.9,yuzawa--nagano#highland,112.3,yuzawa,nagano,36.6511,138.3071
Fuchu,府中町,51053,town,2.0,kure--hiroshima,17.4,kure,hiroshima,34.3926,132.5045
Susono,裾野市,50911,city,8.2,odawara--numazu#pacific,43.1,odawara,numazu,35.1739,138.9068
Nichinan,日南市,50848,city,3.8,miyazaki--nichinan,40.0,miyazaki,nichinan,31.6019,131.3789
Hitachiota,常陸太田市,50728,city,7.5,iwaki--mito#pacific,86.0,iwaki,mito,36.5373,140.5308
Tsukubamirai,つくばみらい市,50615,city,0.1,tsukuba--tokyo#pacific,17.6,tsukuba,tokyo,35.9627,140.0378
Miyako,宮古市,50369,city,0.1,kuji--miyako#pacific,104.6,kuji,miyako,39.6396,141.9461
Omitama,小美玉市,50180,city,2.8,mito--tsukuba#pacific,20.6,mito,tsukuba,36.239,140.3524
Kameyama,亀山市,50146,city,10.3,nagoya--ise#pacific,63.2,nagoya,ise,34.862,136.4467
Suwa,諏訪市,50140,city,0.2,matsumoto--kofu#highland,32.2,matsumoto,kofu,36.0392,138.114
Okaya,岡谷市,50128,city,1.1,matsumoto--kofu#highland,23.8,matsumoto,kofu,36.0667,138.0495
Noshiro,能代市,49968,city,0.1,fukaura--noshiro,54.3,fukaura,noshiro,40.2118,140.0272
Yasu,野洲市,49889,city,10.9,tsuruga--otsu,83.9,tsuruga,otsu,35.0675,136.0259
Tokamachi,十日町市,49820,city,7.6,yuzawa--nagano#highland,21.2,yuzawa,nagano,37.1276,138.7555
Hikari,光市,49798,city,4.2,yanai--hofu,15.3,yanai,hofu,33.9616,131.9425
Higashiura,東浦町,49230,town,10.0,toyohashi--nagoya#pacific,54.7,toyohashi,nagoya,34.9695,136.9477
Tonami,砺波市,49222,city,20.1,uozu--himi,36.9,uozu,himi,36.6364,136.9468
Nomi,能美市,48881,city,7.7,kanazawa--tojinbo,22.0,kanazawa,tojinbo,36.4392,136.5424
Himi,氷見市,48836,city,0.6,himi--chirihama,1.9,himi,chirihama,36.8646,136.9704
Kasaoka,笠岡市,48755,city,9.5,okayama--fukuyama,44.4,okayama,fukuyama,34.5071,133.5075
Shima,志摩市,48696,city,18.8,ise--owase#pacific,9.9,ise,owase,34.3412,136.8196
Kainan,海南市,48369,city,0.3,shirahama--wakayama#pacific,99.9,shirahama,wakayama,34.1549,135.2093
Ono,小野市,48215,city,16.9,kobe--himeji,41.2,kobe,himeji,34.8614,134.9548
Takashima,高島市,48132,city,2.2,tsuruga--otsu#direct,40.3,tsuruga,otsu,35.3529,136.0357
Iwakura,岩倉市,47957,city,11.8,toyohashi--nagoya#pacific,75.6,toyohashi,nagoya,35.2746,136.8707
Samukawa,寒川町,47936,town,5.9,kamakura--odawara#pacific,18.1,kamakura,odawara,35.3729,139.3838
Higashine,東根市,47682,city,8.6,yamagata--tsuruoka#crossover,18.3,yamagata,tsuruoka,38.4312,140.3913
Gosen,五泉市,47625,city,18.0,niigata--kashiwazaki,20.3,niigata,kashiwazaki,37.7444,139.1826
Izunokuni,伊豆の国市,47624,city,7.0,odawara--numazu#pacific,38.7,odawara,numazu,35.0278,138.9289
Takahama,高浜市,47584,city,12.1,toyohashi--nagoya#pacific,45.8,toyohashi,nagoya,34.9208,136.9886
Ami,阿見町,47535,town,10.2,mito--tsukuba#pacific,54.4,mito,tsukuba,36.0308,140.2136
Hokota,鉾田市,47463,city,18.9,mito--tsukuba#pacific,10.9,mito,tsukuba,36.1586,140.5165
Ako,赤穂市,47461,city,8.7,himeji--okayama,27.1,himeji,okayama,34.7549,134.3903
Kikugawa,菊川市,46849,city,12.1,shizuoka--hamamatsu#pacific,72.2,shizuoka,hamamatsu,34.7579,138.0847
Fujiyoshida,富士吉田市,46530,city,6.7,kofu--fujinomiya#highland,29.1,kofu,fujinomiya,35.4875,138.8078
Kurayoshi,倉吉市,46485,city,7.4,tottori--yonago#sanin,48.5,tottori,yonago,35.4302,133.8255
Chiyoda,千代田区,46397,city,1.6,tsukuba--tokyo#pacific,69.0,tsukuba,tokyo,35.6941,139.7535
Tagawa,田川市,46203,city,17.5,moji--nakatsu,33.1,moji,nakatsu,33.6388,130.8063
Shinshiro,新城市,45918,city,16.2,toyohashi--nagoya#pacific,7.3,toyohashi,nagoya,34.8989,137.4977
Sugito,杉戸町,45495,town,22.9,tsukuba--tokyo#pacific,40.4,tsukuba,tokyo,36.0258,139.7367
Inabe,いなべ市,45488,city,12.7,nagoya--ise#pacific,22.6,nagoya,ise,35.1584,136.5167
Miura,三浦市,45289,city,19.5,kamakura--odawara#pacific,3.1,kamakura,odawara,35.1442,139.6208
Masuda,益田市,45003,city,1.5,hamada--hagi#sanin,48.8,hamada,hagi,34.6749,131.8429
Hagi,萩市,44626,city,0.6,hamada--hagi#sanin,118.1,hamada,hagi,34.4075,131.3992
Makinohara,牧之原市,44493,city,1.1,shizuoka--hamamatsu#pacific,42.1,shizuoka,hamamatsu,34.74,138.2247
Kumatori,熊取町,44435,town,6.3,wakayama--osaka#pacific,36.0,wakayama,osaka,34.3761,135.3731
Hokuto,北杜市,44314,city,0.3,matsumoto--kofu#highland,81.5,matsumoto,kofu,35.7765,138.4236
Hokuto,北斗市,44302,city,5.9,yakumo--hakodate,74.1,yakumo,hakodate,41.824,140.653
Kasai,加西市,43619,city,16.4,kobe--himeji,50.5,kobe,himeji,34.9291,134.8601
Uozu,魚津市,43364,city,1.4,uozu--himi,0.0,uozu,himi,36.8171,137.4183
Minamiashigara,南足柄市,43306,city,8.7,kamakura--odawara#pacific,40.9,kamakura,odawara,35.3206,139.0992
Yatomi,弥富市,43269,city,4.5,nagoya--ise#pacific,18.5,nagoya,ise,35.1102,136.7248
Sumoto,洲本市,43149,city,23.0,wakayama--osaka#pacific,14.6,wakayama,osaka,34.343,134.8954
Kitaibaraki,北茨城市,43135,city,0.3,iwaki--mito#pacific,40.9,iwaki,mito,36.8019,140.7513
Awaji,淡路市,42984,city,23.7,kobe--himeji,20.9,kobe,himeji,34.4397,134.915
Iwanuma,岩沼市,42942,city,0.2,sendai--soma#pacific,20.7,sendai,soma,38.1043,140.8701
Akaiwa,赤磐市,42913,city,3.0,himeji--okayama,70.1,himeji,okayama,34.7553,134.0188
Togo,東郷町,42858,town,5.8,toyohashi--nagoya#pacific,52.4,toyohashi,nagoya,35.0954,137.0428
Shimotsuma,下妻市,42635,city,16.9,tsukuba--tokyo#pacific,0.5,tsukuba,tokyo,36.1839,139.9684
Taketoyo,武豊町,42473,town,22.3,toyohashi--nagoya#pacific,45.8,toyohashi,nagoya,34.851,136.9149
Nakano,中野市,42338,city,2.2,yuzawa--nagano#highland,98.5,yuzawa,nagano,36.7416,138.3693
Nagaizumi,長泉町,42331,town,4.2,odawara--numazu#pacific,44.1,odawara,numazu,35.1376,138.8972
Inashiki,稲敷市,41392,city,19.9,mito--tsukuba#pacific,46.0,mito,tsukuba,35.9721,140.3034
Hitachiomiya,常陸大宮市,41342,city,15.7,iwaki--mito#pacific,91.7,iwaki,mito,36.5429,140.4116
Sakuragawa,桜川市,41278,city,20.9,mito--tsukuba#pacific,26.5,mito,tsukuba,36.3272,140.0904
Kurobe,黒部市,41151,city,2.6,itoigawa--uozu,51.4,itoigawa,uozu,36.8713,137.4479
Itoigawa,糸魚川市,40765,city,0.8,itoigawa--uozu,0.0,itoigawa,uozu,37.039,137.8628
Agano,阿賀野市,40696,city,11.6,murakami--niigata,48.4,murakami,niigata,37.8344,139.2259
Kato,加東市,40599,city,22.6,kobe--himeji,41.2,kobe,himeji,34.9186,134.9734
Ozu,大洲市,40575,city,0.1,matsuyama--uwajima#shikoku-south,62.6,matsuyama,uwajima,33.5065,132.5447
Nakama,中間市,40362,city,17.6,moji--nakatsu,12.4,moji,nakatsu,33.8164,130.7091
Aikawa,愛川町,40343,town,24.4,kamakura--odawara#pacific,22.0,kamakura,odawara,35.5323,139.2978
Komono,菰野町,40210,town,11.0,nagoya--ise#pacific,43.9,nagoya,ise,35.02,136.5073
Sagae,寒河江市,40189,city,2.0,yamagata--tsuruoka#crossover,22.8,yamagata,tsuruoka,38.3809,140.276
Kasumigaura,かすみがうら市,40087,city,0.4,mito--tsukuba#pacific,40.0,mito,tsukuba,36.1552,140.2353
Kota,幸田町,39549,town,6.5,toyohashi--nagoya#pacific,27.5,toyohashi,nagoya,34.871,137.1608
Mitsuke,見附市,39237,city,3.3,niigata--nagaoka#highland,52.4,niigata,nagaoka,37.5314,138.9127
Misawa,三沢市,39152,city,7.8,aomori--hachinohe#pacific,69.5,aomori,hachinohe,40.6829,141.3692
Ibusuki,指宿市,39011,city,12.7,kanoya--nejime,23.6,kanoya,nejime,31.2528,130.6333
Oda,大田市,38837,city,3.2,izumo--hamada#sanin,35.2,izumo,hamada,35.1921,132.4995
Maibara,米原市,38719,city,19.8,tsuruga--otsu,54.4,tsuruga,otsu,35.315,136.2916
Ibara,井原市,38384,city,0.6,okayama--fukuyama,47.6,okayama,fukuyama,34.5977,133.4638
Soma,相馬市,38171,city,0.5,soma--iwaki#pacific,0.7,soma,iwaki,37.7967,140.9195
Fuchu,府中市,37655,city,11.8,okayama--fukuyama,61.8,okayama,fukuyama,34.5683,133.2366
Higashimatsushima,東松島市,37625,city,15.3,kesennuma--sendai#pacific,92.4,kesennuma,sendai,38.4264,141.211
Kannami,函南町,37347,town,0.1,odawara--numazu#pacific,38.1,odawara,numazu,35.089,138.9534
Kanie,蟹江町,37085,town,2.3,nagoya--ise#pacific,10.5,nagoya,ise,35.1323,136.7868
Yasugi,安来市,37062,city,0.6,yonago--matsue#sanin,11.3,yonago,matsue,35.4313,133.2509
Atami,熱海市,37000,city,1.4,odawara--numazu#pacific,23.0,odawara,numazu,35.0965,139.0718
Setouchi,瀬戸内市,36975,city,7.0,himeji--okayama,73.6,himeji,okayama,34.6648,134.0927
Tsubata,津幡町,36968,town,6.6,nanao--kanazawa,48.1,nanao,kanazawa,36.6664,136.7337
Kaizu,海津市,36950,city,8.7,nagoya--ise#pacific,21.7,nagoya,ise,35.2205,136.6372
Katsuragi,葛城市,36824,city,24.8,wakayama--osaka#pacific,60.2,wakayama,osaka,34.4888,135.7267
Shiso,宍粟市,36387,city,20.2,himeji--okayama,16.1,himeji,okayama,35.0044,134.5496
Seika,精華町,36376,town,14.3,otsu--osaka,31.9,otsu,osaka,34.7609,135.7858
Shibata,柴田町,36215,town,7.8,sendai--soma#pacific,27.2,sendai,soma,38.0566,140.7658
Usuki,臼杵市,36158,city,0.3,beppu--usuki,39.5,beppu,usuki,33.1261,131.8048
Un-nan,雲南市,36007,city,13.9,matsue--izumo#sanin,38.7,matsue,izumo,35.2881,132.9001
Seiyo,西予市,35388,city,0.1,matsuyama--uwajima#shikoku-south,84.5,matsuyama,uwajima,33.3626,132.5109
Iyo,伊予市,35133,city,0.2,matsuyama--yawatahama#shikoku,12.2,matsuyama,yawatahama,33.7579,132.7039
Kanda,苅田町,34963,town,0.3,moji--nakatsu,24.6,moji,nakatsu,33.7757,130.9806
Kahoku,かほく市,34889,city,1.4,chirihama--kanazawa#direct,15.4,chirihama,kanazawa,36.7498,136.7196
Ofunato,大船渡市,34728,city,0.2,kamaishi--kesennuma#pacific,44.5,kamaishi,kesennuma,39.0818,141.7084
Koryo,広陵町,34558,town,24.5,wakayama--osaka#pacific,63.1,wakayama,osaka,34.5426,135.7504
Uonuma,魚沼市,34483,city,0.4,nagaoka--yuzawa#highland,38.6,nagaoka,yuzawa,37.2303,138.9612
Mimasaka,美作市,34338,city,23.8,himeji--okayama,53.3,himeji,okayama,35.0261,134.1598
Ojiya,小千谷市,34096,city,1.7,nagaoka--yuzawa#highland,17.7,nagaoka,yuzawa,37.3143,138.7951
Yamanashi,山梨市,33962,city,9.3,kofu--fujinomiya#highland,3.3,kofu,fujinomiya,35.6928,138.6871
Miyashiro,宮代町,33930,town,23.4,tsukuba--tokyo#pacific,40.4,tsukuba,tokyo,36.0227,139.7226
Toon,東温市,33903,city,10.4,matsuyama--uwajima#shikoku-south,0.8,matsuyama,uwajima,33.7909,132.8719
Fuso,扶桑町,33806,town,21.9,toyohashi--nagoya#pacific,75.6,toyohashi,nagoya,35.3652,136.9077
Harima,播磨町,33739,town,0.4,kobe--himeji,33.9,kobe,himeji,34.7153,134.8679
Asakuchi,浅口市,33697,city,8.2,okayama--fukuyama,39.1,okayama,fukuyama,34.5279,133.585
Bungo-Ono,豊後大野市,33695,city,10.4,usuki--nobeoka,21.3,usuki,nobeoka,32.9776,131.5841
Taishi,太子町,33690,town,2.0,himeji--okayama,11.2,himeji,okayama,34.833,134.5723
Wakkanai,稚内市,33563,city,6.3,cape-soya--wakkanai,34.0,cape-soya,wakkanai,45.4157,141.674
Soo,曽於市,33310,city,19.8,kushima--kanoya,10.5,kushima,kanoya,31.6535,131.0194
Asago,朝来市,33252,city,11.9,miyazu--tottori#sanin,40.8,miyazu,tottori,35.3398,134.8527
Namerikawa,滑川市,33235,city,0.5,uozu--himi,10.0,uozu,himi,36.7643,137.3414
Kuji,久慈市,33043,city,0.1,hachinohe--kuji#pacific,66.6,hachinohe,kuji,40.1904,141.7757
Ayabe,綾部市,32964,city,16.9,obama--miyazu#sanin,56.7,obama,miyazu,35.299,135.2588
Ibaraki,茨城町,32921,town,2.4,mito--tsukuba#pacific,10.9,mito,tsukuba,36.2871,140.4241
Yufu,由布市,32772,city,12.2,beppu--usuki,3.7,beppu,usuki,33.1801,131.4269
Sakaiminato,境港市,32740,city,12.2,yonago--matsue#sanin,15.1,yonago,matsue,35.5392,133.2319
Shimanto,四万十市,32694,city,14.6,uwajima--sukumo#shikoku-south,54.7,uwajima,sukumo,32.9912,132.9337
Watari,亘理町,32646,town,1.1,sendai--soma#pacific,28.7,sendai,soma,38.0444,140.8679
Nagato,長門市,32519,city,13.3,hagi--shimonoseki#sanin,35.5,hagi,shimonoseki,34.3709,131.1822
Bizen,備前市,32320,city,6.6,himeji--okayama,58.0,himeji,okayama,34.745,134.1883
Shimizu,清水町,32118,town,0.1,odawara--numazu#pacific,43.8,odawara,numazu,35.0991,138.9027
Hayama,葉山町,32096,town,6.0,kamakura--odawara#pacific,1.2,kamakura,odawara,35.2719,139.5861
Kamaishi,釜石市,32078,city,0.9,miyako--kamaishi#pacific,66.5,miyako,kamaishi,39.2757,141.8858
Takahashi,高梁市,32075,city,18.0,okayama--fukuyama,18.6,okayama,fukuyama,34.7909,133.6169
Yawatahama,八幡浜市,31987,city,0.4,matsuyama--yawatahama#shikoku,72.6,matsuyama,yawatahama,33.4628,132.4235
Kuroishi,黒石市,31946,city,7.1,aomori--fukaura,22.7,aomori,fukaura,40.6423,140.5951
Omaezaki,御前崎市,31894,city,0.3,shizuoka--hamamatsu#pacific,62.3,shizuoka,hamamatsu,34.6381,138.128
Katagami,潟上市,31720,city,4.6,noshiro--akita,40.6,noshiro,akita,39.8573,140.0132
Oiso,大磯町,31550,town,0.0,kamakura--odawara#pacific,24.5,kamakura,odawara,35.3069,139.3113
Oyabe,小矢部市,31351,city,17.0,nanao--kanazawa,42.4,nanao,kanazawa,36.6756,136.8689
Inami,稲美町,31020,town,5.2,kobe--himeji,33.4,kobe,himeji,34.7487,134.9134
Tsuru,都留市,31016,city,15.2,kofu--fujinomiya#highland,28.6,kofu,fujinomiya,35.5516,138.9055
Oharu,大治町,30990,town,1.5,nagoya--ise#pacific,6.3,nagoya,ise,35.1709,136.8247
Tsugaru,つがる市,30934,city,3.5,aomori--fukaura,42.2,aomori,fukaura,40.8088,140.3803
Inagawa,猪名川町,30838,town,22.8,osaka--kobe,16.3,osaka,kobe,34.9463,135.3521
Chuo,中央市,30837,city,7.6,kofu--fujinomiya#highland,6.7,kofu,fujinomiya,35.5996,138.5175
Yanai,柳井市,30799,city,0.3,yanai--hofu,1.2,yanai,hofu,33.9641,132.1012
Yoro,養老町,30759,town,19.9,nagoya--ise#pacific,22.6,nagoya,ise,35.3055,136.5616
Hirakawa,平川市,30567,city,13.4,aomori--fukaura,22.7,aomori,fukaura,40.5837,140.5671
Myoko,妙高市,30383,city,16.3,kashiwazaki--itoigawa,41.7,kashiwazaki,itoigawa,37.0252,138.2536
Shiroishi,白石市,30287,city,21.4,sendai--soma#pacific,30.0,sendai,soma,38.0024,140.62
Izu,伊豆市,30283,city,12.4,odawara--numazu#pacific,37.2,odawara,numazu,34.9765,138.9467
Nirasaki,韮崎市,30070,city,0.4,matsumoto--kofu#highland,90.0,matsumoto,kofu,35.7089,138.4461
Masaki,松前町,30064,town,1.5,matsuyama--yawatahama#shikoku,8.6,matsuyama,yawatahama,33.7881,132.7121
Matsubushi,松伏町,30061,town,9.9,tsukuba--tokyo#pacific,40.4,tsukuba,tokyo,35.9262,139.8159
Fukuoka,福岡市,1612392,city,53.3,moji--nakatsu,13.5,moji,nakatsu,33.5899,130.4018
Chiba,千葉市,974951,city,26.2,tsukuba--tokyo#pacific,53.7,tsukuba,tokyo,35.6071,140.1063
Sagamihara,相模原市,725493,city,25.7,tokyo--kamakura#pacific,32.5,tokyo,kamakura,35.5715,139.3731
Kagoshima,鹿児島市,593128,city,35.0,kanoya--nejime,6.3,kanoya,nejime,31.5968,130.5572
Hachioji,八王子市,555517,city,35.6,tokyo--kamakura#pacific,32.5,tokyo,kamakura,35.6664,139.3164
Utsunomiya,宇都宮市,518594,city,50.8,mito--tsukuba#pacific,22.7,mito,tsukuba,36.555,139.8829
Takamatsu,高松市,426514,city,37.6,himeji--okayama,80.6,himeji,okayama,34.3426,134.0465
Sakaide,坂出市,426514,city,37.9,okayama--fukuyama,24.6,okayama,fukuyama,34.3167,133.8604
Marugame,丸亀市,426514,city,38.8,okayama--fukuyama,28.2,okayama,fukuyama,34.2888,133.7982
Gifu,岐阜市,404352,city,29.8,nagoya--ise#pacific,7.7,nagoya,ise,35.4231,136.7628
Takasaki,高崎市,370176,city,70.4,yuzawa--nagano#highland,0.0,yuzawa,nagano,36.3221,139.0033
Kawagoe,川越市,350745,city,36.6,tsukuba--tokyo#pacific,68.3,tsukuba,tokyo,35.9251,139.4857
Tokorozawa,所沢市,341091,city,29.4,tokyo--kamakura#pacific,0.8,tokyo,kamakura,35.7987,139.4697
Asahikawa,旭川市,329306,city,59.2,haboro--rumoi,45.0,haboro,rumoi,43.7706,142.365
Koriyama,郡山市,327692,city,59.6,soma--iwaki#pacific,53.7,soma,iwaki,37.4049,140.3334
Kochi,高知市,326545,city,73.8,onomichi--imabari,57.6,onomichi,imabari,33.5588,133.5311
Maebashi,前橋市,324644,city,64.9,yuzawa--nagano#highland,0.0,yuzawa,nagano,36.3893,139.0633
Kurume,久留米市,303316,city,60.1,moji--nakatsu,37.7,moji,nakatsu,33.3197,130.5081
Morioka,盛岡市,289731,city,64.4,kuji--miyako#pacific,65.2,kuji,miyako,39.7021,141.1545
Fukushima,福島市,282693,city,40.5,sendai--soma#pacific,57.9,sendai,soma,37.7608,140.4746
Ichihara,市原市,269524,city,35.7,tsukuba--tokyo#pacific,53.7,tsukuba,tokyo,35.4978,140.1157
Tokushima,徳島市,252391,city,50.2,shirahama--wakayama#pacific,83.6,shirahama,wakayama,34.0698,134.555
Saga,佐賀市,233301,city,78.5,moji--nakatsu,33.1,moji,nakatsu,33.2639,130.3008
Ageo,上尾市,226940,city,29.9,tsukuba--tokyo#pacific,40.4,tsukuba,tokyo,35.9774,139.5931
Ota,太田市,221403,city,66.6,tsukuba--tokyo#pacific,40.4,tsukuba,tokyo,36.2912,139.3754
Isesaki,伊勢崎市,211850,city,77.7,yuzawa--nagano#highland,0.0,yuzawa,nagano,36.3112,139.1968
Kumagaya,熊谷市,198742,city,55.3,tsukuba--tokyo#pacific,40.4,tsukuba,tokyo,36.1472,139.3886
Tachikawa,立川市,179575,city,30.0,tokyo--kamakura#pacific,10.2,tokyo,kamakura,35.7139,139.4078
Sakura,佐倉市,171927,city,27.6,tsukuba--tokyo#pacific,29.7,tsukuba,tokyo,35.7235,140.224
Hino,日野市,171309,city,29.8,tokyo--kamakura#pacific,10.2,tokyo,kamakura,35.6713,139.395
Tomakomai,苫小牧市,170113,city,64.6,atsuta--otaru,42.9,atsuta,otaru,42.6341,141.6055
Oyama,小山市,167535,city,37.9,tsukuba--tokyo#pacific,0.5,tsukuba,tokyo,36.3155,139.8007
Tochigi,栃木市,157645,city,47.4,tsukuba--tokyo#pacific,0.5,tsukuba,tokyo,36.3818,139.7336
Sayama,狭山市,152405,city,37.4,tokyo--kamakura#pacific,0.8,tokyo,kamakura,35.8611,139.4119
Kuki,久喜市,151598,city,30.0,tsukuba--tokyo#pacific,40.4,tsukuba,tokyo,36.0618,139.6671
Higashimurayama,東村山市,150116,city,26.7,tokyo--kamakura#pacific,6.8,tokyo,kamakura,35.7689,139.4845
Ashikaga,足利市,147699,city,65.4,tsukuba--tokyo#pacific,10.4,tsukuba,tokyo,36.34,139.4488
Iruma,入間市,147430,city,38.1,tokyo--kamakura#pacific,1.8,tokyo,kamakura,35.8221,139.3757
Kakamigahara,各務原市,145494,city,25.8,toyohashi--nagoya#pacific,75.6,toyohashi,nagoya,35.3996,136.8486
Fukaya,深谷市,142996,city,66.4,tsukuba--tokyo#pacific,40.4,tsukuba,tokyo,36.1974,139.2817
Koga,古河市,140150,city,32.5,tsukuba--tokyo#pacific,10.4,tsukuba,tokyo,36.178,139.7554
Ome,青梅市,136581,city,44.2,tokyo--kamakura#pacific,10.2,tokyo,kamakura,35.7881,139.2754
Kisarazu,木更津市,135461,city,26.3,tokyo--kamakura#pacific,27.1,tokyo,kamakura,35.3811,139.9247
Narita,成田市,131190,city,31.3,tsukuba--tokyo#pacific,24.0,tsukuba,tokyo,35.7768,140.3183
Iizuka,飯塚市,126364,city,27.0,moji--nakatsu,33.1,moji,nakatsu,33.6466,130.6912
Kashihara,橿原市,125367,city,29.4,wakayama--osaka#pacific,63.1,wakayama,osaka,34.5094,135.793
Kokubunji,国分寺市,123290,city,26.0,tokyo--kamakura#pacific,10.2,tokyo,kamakura,35.7097,139.4542
Kirishima,霧島市,123135,city,39.6,kushima--kanoya,21.0,kushima,kanoya,31.741,130.7632
Konosu,鴻巣市,117883,city,40.3,tsukuba--tokyo#pacific,40.4,tsukuba,tokyo,36.0658,139.5221
Sano,佐野市,117521,city,53.8,tsukuba--tokyo#pacific,2.5,tsukuba,tokyo,36.3144,139.5784
Aizuwakamatsu,会津若松市,117376,city,77.1,murakami--niigata,33.5,murakami,niigata,37.4947,139.9297
Niihama,新居浜市,115938,city,28.1,onomichi--imabari,57.6,onomichi,imabari,33.9603,133.2836
Nasushiobara,那須塩原市,115210,city,63.7,iwaki--mito#pacific,48.4,iwaki,mito,36.9622,140.0467
Fujimino,ふじみ野市,114218,city,30.8,tsukuba--tokyo#pacific,68.3,tsukuba,tokyo,35.8795,139.5195
Higashiomi,東近江市,113269,city,25.1,tsuruga--otsu#direct,54.3,tsuruga,otsu,35.1124,136.2073
Ōshū,奥州市,112937,city,33.7,kesennuma--sendai#pacific,23.0,kesennuma,sendai,39.1443,141.1392
Kazo,加須市,111572,city,39.6,tsukuba--tokyo#pacific,40.4,tsukuba,tokyo,36.1309,139.6032
Kiryu,桐生市,111554,city,75.3,yuzawa--nagano#highland,0.0,yuzawa,nagano,36.4057,139.3308
Akishima,昭島市,111482,city,34.3,tokyo--kamakura#pacific,10.2,tokyo,kamakura,35.7058,139.3536
Kasuga,春日市,111023,city,49.9,moji--nakatsu,33.1,moji,nakatsu,33.5326,130.47
Fujimi,富士見市,108102,city,27.2,tsukuba--tokyo#pacific,68.3,tsukuba,tokyo,35.8566,139.5491
Tajimi,多治見市,106714,city,28.5,toyohashi--nagoya#pacific,71.6,toyohashi,nagoya,35.333,137.1319
Chikushino,筑紫野市,103311,city,47.6,moji--nakatsu,33.1,moji,nakatsu,33.4875,130.5259
Chikusei,筑西市,102242,city,25.8,mito--tsukuba#pacific,49.5,mito,tsukuba,36.3052,139.9791
Onojo,大野城市,102085,city,49.0,moji--nakatsu,33.1,moji,nakatsu,33.5362,130.4787
